feature,importance
last_3nt_CCC,0
last_3nt_TTG,0
first_3nt_TTG,0
last_3nt_TCG,0
first_3nt_TCT,0
last_3nt_TCT,0
first_3nt_TCG,0
first_3nt_TGA,0
last_3nt_TGA,0
last_3nt_TGC,0
first_3nt_TGC,0
first_3nt_TGG,0
last_3nt_TGG,0
first_3nt_TGT,0
last_3nt_TGT,0
first_3nt_TCC,0
last_3nt_TCC,0
last_3nt_TTC,0
last_3nt_TTA,0
gapmer_4-9-4,0
gapmer_5-7-5,0
chemical_pattern_length,0
gapmer_2-8-6,0
contains_cEt,0
gapmer_6-9-5,0
gapmer_6-8-6,0
gapmer_5-8-4,0
gapmer_5-8-7,0
max_modified_position,0
n_modification_types,0
n_location_groups,0
