,0
log10_aso_concentration_nm,7.375215353228521
fraction_M,4.969180367135354
log10_density_cells_per_well,3.811963648406945
treatment_period_hours,3.6825581087020836
left_modified_wing_length,3.1949599903904646
tri_ATG,1.9243029622650574
C_count,1.2052207928634422
tri_AAT,1.1340678398488055
tri_TTA,0.9774252008230951
max_gc_stretch,0.8920897482675246
di_AG_freq,0.8871683946926495
smiles_length,0.8164235386612445
tri_GTT,0.8081963177362655
di_AG,0.6846894139676253
tri_ATC,0.6462253292577826
tri_AGG,0.645452698860471
tri_AAG,0.6242883838784724
di_GT_freq,0.5980204165440973
smiles_ring_count_approx,0.5643460380780003
count_M,0.558440534464031
cell_A431,0.5499632748640987
cell_HepG2,0.5384822239352686
max_homopolymer_run,0.5317931334830182
tri_TAT,0.5196092098532101
tri_GAA,0.4851761925258424
G_fraction,0.4708953617241316
di_AC_freq,0.4399766017196482
primer_HTS90,0.4299017942617491
tri_GGG,0.42418597034193695
di_AC,0.4128008799612314
C_fraction,0.40558564494795446
tri_GGT,0.39319976325481065
di_TG,0.3902917027664337
Tm_wallace,0.3861364246685237
di_TC_freq,0.38368743061629684
tri_TCT,0.38099771475385547
tri_AGA,0.37546941706967274
A_count,0.3738689236237754
rc_internal_match_score,0.3612801598546988
purine_fraction,0.3590617234697406
tri_CTA,0.35676141414635737
count_d,0.342655552580608
first_3nt_AAT,0.33083655580209315
di_AA_freq,0.31782426959576365
tri_TCA,0.296843973211703
A_fraction,0.2965758034252049
tri_ACA,0.2949720878355813
tri_ATT,0.29423125110772647
di_CA_freq,0.271333814701498
tri_TTT,0.27047473091917773
tri_TGA,0.26943241306040094
di_CT_freq,0.264588944955668
GC_fraction,0.2636784713567063
T_fraction,0.2570726936320858
tri_AGT,0.24363233444034316
tri_TTC,0.23584957415240815
palindrome_score,0.2319416445967212
tri_TAA,0.23099858813700028
di_TC,0.23056471378234675
di_AA,0.22298626677433503
di_AT_freq,0.21855674723866553
contains_PO,0.2124484759838565
di_AT,0.21119799500362407
tri_GGA,0.20927672919135984
tri_GCT,0.20834054785916423
di_TT,0.20750964147317646
five_prime_base_T,0.19841620950482053
T_count,0.19542743092616874
five_prime_base_C,0.1952757871127303
di_CA,0.19387562845801398
first_2nt_AC,0.18636766251349005
first_2nt_AA,0.18351078808536536
fraction_d,0.17359700249579427
self_complementarity_score,0.17191299315874914
di_TT_freq,0.17127145120656476
first_2nt_AT,0.16794127311362317
di_CT,0.15918174771670407
tri_CCC,0.15795429103495073
predicted_PS_fraction,0.15282116644447352
G_count,0.14993144857099414
last_2nt_AG,0.14787408669032465
di_GA_freq,0.14589362631243116
di_GT,0.1447152154322423
tri_TGT,0.13881944504202853
tri_CAC,0.1353300104069154
di_TG_freq,0.13460911453687602
primer_RTS3898,0.13359098631094912
three_prime_base_A,0.12942821803729354
last_3nt_CAG,0.12062847594233628
n_chemistry_transitions,0.11926355209115566
di_CC_freq,0.11891192021830108
count_C,0.116810169966496
last_3nt_AAT,0.11634290112320235
di_CC,0.1123808870254312
first_3nt_GTT,0.11165923781560189
di_TA,0.11014377348282213
predicted_PO_count,0.10793440806282337
tri_TGC,0.10573390323333644
tri_CTG,0.1049918298128846
tri_CAG,0.10372477009323568
di_GA,0.10346780510818694
tri_CAT,0.10294187540076981
di_GC,0.102539064988713
first_3nt_CAG,0.10056970894985952
di_CG,0.10013336760090338
di_TA_freq,0.09938969192209589
first_2nt_AG,0.09862212734179827
five_prime_base_A,0.09633977962716994
last_3nt_GTT,0.09493602522214362
tri_CCA,0.0933941549387977
di_GG,0.09187851478525473
first_3nt_TTC,0.09125299899188648
tri_AAA,0.08970931764701678
Tm_gc_adjusted,0.08955785489665427
tri_CTC,0.08614090905522702
last_3nt_CAC,0.08342060637112204
transfection_free_uptake,0.08171446357351546
tri_GCA,0.07995363617125177
three_prime_base_T,0.07807114288548517
pyrimidine_fraction,0.07578165702335465
last_2nt_CT,0.07485558745253329
three_prime_base_C,0.07412503972517523
cell_SH-SY5Y,0.07338976807361833
first_2nt_CC,0.07314476459416376
tri_GTC,0.07129762103416631
first_2nt_GC,0.07072279608520664
fraction_C,0.07008354038611384
last_2nt_CC,0.06837582298936279
last_2nt_GA,0.06681877975515842
di_GC_freq,0.0657443799602165
last_2nt_CA,0.06397565274846144
tri_TAC,0.06374173225619342
terminal_gc_clamp,0.06368892002940492
